subset,n,Gap (M - F),Explained (Women ref),Unexplained (Women ref),Explained (Men ref),Unexplained (Men ref)
Age decile 1,344,"0.027
(0.033)","0.002
(0.009)","0.025
(0.033)","0.036*
(0.019)","-0.009
(0.030)"
Age decile 2,347,"0.004
(0.033)","0.023
(0.021)","-0.019
(0.041)","-0.010
(0.014)","0.015
(0.036)"
Age decile 4,372,"-0.015
(0.032)","0.012
(0.013)","-0.027
(0.035)","-0.004
(0.017)","-0.012
(0.037)"
Age decile 5,344,"-0.025
(0.039)","0.010
(0.016)","-0.035
(0.039)","-0.008
(0.022)","-0.017
(0.042)"
Age decile 9,325,"-0.077
(0.048)","0.001
(0.023)","-0.078
(0.049)","-0.001
(0.013)","-0.076
(0.049)"
HR quartile 2,816,"0.035
(0.023)","0.021***
(0.007)","0.014
(0.025)","-0.007
(0.011)","0.042*
(0.025)"
MAP quartile 0,877,"-0.014
(0.026)","-0.003
(0.009)","-0.011
(0.026)","0.004
(0.008)","-0.018
(0.026)"
MAP quartile 1,840,"0.024
(0.022)","0.036***
(0.012)","-0.012
(0.027)","0.011
(0.008)","0.013
(0.022)"
Urine quartile 0,859,"-0.031
(0.027)","0.007
(0.009)","-0.038
(0.027)","-0.006
(0.007)","-0.025
(0.027)"
MAP < 65,697,"-0.028
(0.028)","-0.011
(0.012)","-0.017
(0.029)","0.002
(0.008)","-0.030
(0.029)"
Temp > 38C,267,"-0.043
(0.047)","-0.001
(0.025)","-0.042
(0.050)","0.008
(0.019)","-0.051
(0.046)"
Urine > 1000,210,"0.046
(0.036)","-0.014
(0.018)","0.060
(0.038)","0.014
(0.023)","0.031
(0.037)"
Random 50% #6,1714,"0.020
(0.017)","0.023***
(0.005)","-0.003
(0.018)","0.012**
(0.006)","0.009
(0.017)"
Random 50% #21,1714,"0.018
(0.016)","0.019***
(0.005)","-0.001
(0.017)","0.015***
(0.005)","0.003
(0.015)"
Random 50% #28,1714,"0.013
(0.018)","0.016***
(0.005)","-0.004
(0.018)","0.009**
(0.004)","0.003
(0.017)"
Random 50% #30,1714,"0.008
(0.017)","0.014***
(0.005)","-0.006
(0.018)","0.004
(0.004)","0.005
(0.017)"
Random 50% #34,1714,"0.009
(0.015)","0.016***
(0.005)","-0.007
(0.016)","0.009*
(0.005)","0.001
(0.015)"
Random 50% #39,1714,"0.019
(0.017)","0.020***
(0.005)","-0.001
(0.018)","0.012**
(0.005)","0.007
(0.016)"
Random 30% #0,1028,"0.018
(0.022)","0.018***
(0.006)","-0.001
(0.023)","0.008
(0.006)","0.010
(0.021)"
Random 30% #5,1028,"0.011
(0.020)","0.016***
(0.006)","-0.005
(0.021)","0.008
(0.008)","0.003
(0.021)"
Random 30% #17,1028,"0.008
(0.022)","0.014**
(0.007)","-0.006
(0.023)","0.008
(0.006)","0.000
(0.022)"
Random 30% #18,1028,"0.007
(0.022)","0.022***
(0.007)","-0.015
(0.024)","0.002
(0.005)","0.004
(0.022)"
Random 30% #20,1028,"0.002
(0.020)","0.001
(0.007)","0.001
(0.020)","0.005
(0.005)","-0.003
(0.019)"
Random 30% #24,1028,"0.021
(0.021)","0.018***
(0.007)","0.003
(0.023)","-0.007
(0.010)","0.027
(0.023)"
Random 30% #31,1028,"0.015
(0.021)","0.014**
(0.007)","0.000
(0.022)","0.023***
(0.009)","-0.009
(0.020)"
Random 30% #37,1028,"0.011
(0.023)","0.021**
(0.009)","-0.011
(0.025)","0.007
(0.006)","0.004
(0.022)"
Random 30% #43,1028,"0.015
(0.021)","0.017**
(0.007)","-0.002
(0.023)","0.012**
(0.006)","0.003
(0.021)"
